
#======================================================================
# GLOBAL VISUAL PALETTE (40 concepts nổi bật nhất — copy cho AI)
#======================================================================
dry, red, earth, rural, wooden, chair, edge, pair, boots, trowel, brown, pecan, cornflower, shirt, patch, freshly, turned, dirt, clods, grassy, green, sapling, leaves, straight, ahead, trunk, tree, roots, smile, sunlight, stone, well, cedar, stick, metal, bucket, empty, rocking, expansive, closed
#======================================================================

# Visual Index — Tham chiếu hình ảnh cô đọng
# Đọc file này trước khi search_media để biết visual palette của video
# Format: Tag | object1, object2, object3, ...
#----------------------------------------------------------------------

P077 Bridge - Detail shot (The offered birdhouse) | normal-sized, wooden, birdhouse, red, thick, tree
P078 Final Chorus - Wide night shot (The glowing leaf d | rural, grass, green, leaf, domed, tent
P079 Outro - Close-up texture (The shell easel) | elegantly, paintbrush, painting, landscape, but, instead
P080 Final Closure - Wide landscape (The petiole pole) | red, earth, normal-sized, clothesline, strung, horizontally
P081 Verse 1 - Light manipulation (The floral sun) | rural, shade, dense, green, canopy, blocks
P082 Pre-Chorus - Seasonal paradox (Islands of autumn) | freezing, winter, earth, covered, thick, white
P083 Chorus 1 - Close-up macro (Split time leaf) | surface, pecan, leaf, exhibits, surreal, time
P084 Verse 2 - Detail shot (The tree's heartbeat) | wall, brown, bark, trunk, normal-sized, medical
P085 Pre-Chorus 2 - Medium wide (The absolute windbreak | edge, violent, windstorm, aggressively, bending, trees
P086 Chorus 2 - Medium low angle (The heavy shell umbre | rural, yard, during, rainstorm, rain, instead
P087 Bridge - Wide establishing (The catkin blanket) | rural, winter, tree, entirely, bare, leaves
P088 Final Chorus - Wide landscape (The trapped sunrise | landscape, early, morning, dark, silhouette, tree
P089 Outro - High-angle wide (Roots in the sky) | down, canopy, surreal, inversion, where, several
P090 Final Closure - Wide emotional (The biological bal | tree's, trunk, wood, naturally, formed, perfectly
P091 Verse 1 - Cosmic scale (The moon anchor) | rural, dark, silhouette, tree, thick, wooden
P092 Pre-Chorus - Extreme macro (Galaxies in the sap) | extreme, deeply, grooved, brown, bark, tree
P093 Chorus 1 - Medium close-up (The topographical leaf | wooden, table, skeletonized, leaf, just, delicate
P094 Verse 2 - Wide shot (The generational swing) | hanging, branch, two, ropes, thick, ship
P095 Pre-Chorus 2 - High-angle looking down (The endles | directly, down, stone, well, mossy, walls
P096 Chorus 2 - Aerial view (Cloud harvesters) | aerial, bird's-eye, view, earth, very, top
P097 Bridge - Wide shot (The root staircase) | base, tree, trunk, series, thinner, but
P098 Final Chorus - Close-up macro (The racing track ri | flat, freshly, cut, surface, pruned, branch
P099 Final Chorus - Low angle action (Pollen splash) | red, earth, joyfully, jumping, both, feet
P100 Final Closure - Extreme wide (The eternal guardian | extreme, landscape, exactly, mirroring, prompt, but
P101 Verse 1 - Wide interior (The root cavern) | underground, awe-inspiring, cavern, formed, entirely, interwoven
P102 Pre-Chorus - Close-up macro (The shell oasis) | red, earth, half-cracked, brown, pecan, shell
P103 Chorus 1 - Medium wide (The ironic scale) | grassy, hugging, average-sized, green, pecan, tree
P104 Verse 2 - Action tracking (The leaf sled) | tracking, snowy, hillside, winter, bundled, clothes
P105 Pre-Chorus 2 - Medium high-angle (The wood well) | top, flat, horizontal, tree, root, lowering
P106 Chorus 2 - Wide landscape (The breathing canopy) | landscape, early, morning, tree, canopy, hovering
P107 Bridge - Medium close-up (The glowing cleft) | bark, tree, trunk, vertical, split, wood
P108 Final Chorus - Wide landscape (The root bridge) | landscape, peaceful, river, flowing, near, gargantuan
P109 Outro - Detail shot (The petiole telescope) | wooden, twilight, hollowed-out, section, green, leaf
P110 Final Closure - Wide establishing (Tectonic roots) | entire, rural, sheer, force, tree, earth
P111 Verse 1 - Wide landscape (The leaf pond) | grassy, edge, gargantuan, green, leaf, edges
P112 Pre-Chorus - Medium close-up (The echoing woodpeck | thick, canyon-like, bark, trunk, normal-sized, woodpecker
P113 Chorus 1 - Close-up macro (The ant highway) | down, one, vertical, crevices, bark, wooden
P114 Verse 2 - Wide shot (The shell apartment) | hanging, low-hanging, branch, half-cracked, brown, pecan
P115 Pre-Chorus 2 - Detail shot (The unequal web) | between, farmhouse, tree, normal-sized, garden, spider
P116 Chorus 2 - Low angle action (The overwhelmed hoard | patch, autumn, leaves, normal-sized, brown, squirrel
P117 Bridge - Wide landscape (The root dam) | landscape, bubbling, stream, subterranean, tree, root
P118 Final Chorus - Close-up macro (The caterpillar tra | green, edge, leaf, elevated, highway, normal-sized
P119 Outro - Low angle wide (The fake starry night) | straight, canopy, dark, leaves, block, out
P120 Final Closure - Medium close-up (The falling shado | out, normal-sized, butterfly, lands, index, finger
P121 Verse 1 - Wide landscape (The woven fence) | boundary, red, earth, normal-sized, wooden, fence
P122 Pre-Chorus - Medium wide (The leaf chimney hood) | roof, wooden, farmhouse, thick, grey, smoke
P123 Chorus 1 - Low angle action (The biological windmi | tall, wooden, windmill, one, original, blades
P124 Verse 2 - Close-up interior (The living bookshelf) | inside, farmhouse, living, tree, root, protruded
P125 Pre-Chorus 2 - Medium shot (The vine clothesline) | instead, rope, clothesline, long, thin, flexible
P126 Chorus 2 - Wide eye-level (The gothic root arch) | front, farmhouse, two, tree, roots, breached
P127 Bridge - Medium high-angle (The leaf shingles) | down, farmhouse, roof, wooden, ladder, using
P128 Final Chorus - Close-up (The natural lantern hook) | bark, trunk, sharp, wooden, thorn, protruding
P129 Outro - Detail shot (The swallowed mailbox) | end, dirt, driveway, rusted, metal, mailbox
P130 Final Closure - Wide interior (The biological wind | interior, out, farmhouse, window, inside, sunlight
P131 Verse 1 - Close-up macro (The amber photograph) | hanging, wooden, branch, gargantuan, perfectly, clear
P132 Pre-Chorus - Medium wide (The billboard carving) | deeply, bark, trunk, carved, heart, initials
P133 Chorus 1 - Detail shot (The swallowed tractor) | crotch, two, branches, normal-sized, rusted, vintage
P134 Verse 2 - Extreme macro (Fossilized rain) | extreme, flat, surface, wall, hardened, transparent
P135 Pre-Chorus 2 - Medium close-up (The bark tapestry) | trunk, sheet, outer, bark, peeled, curled
P136 Chorus 2 - Detail interior (The clockwork root) | inside, farmhouse, antique, wooden, grandfather, clock
P137 Bridge - Medium close-up (The whispering knot) | bark, trunk, elegantly, pressing, ear, hollow
P138 Final Chorus - Medium shot (The time mirror) | base, trunk, perfectly, flat, highly, polished
P139 Outro - Low angle macro (The memory chimes) | cluster, thin, delicate, rootlets, hanging, down
P140 Final Closure - Wide establishing (The biological  | tree, glowing, brightly, within, lantern, thick
